team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over,Team,Opponent,is_winner,is_toss_winner,team_role,toss_advantage,high_pressure_match
Royal Challengers Bengaluru,Kolkata Knight Riders,2008-04-18,Royal Challengers Bengaluru,field,Kolkata Knight Riders,BB McCullum,M Chinnaswamy Stadium,Bangalore,"R Dravid, W Jaffer, V Kohli, JH Kallis, CL White, MV Boucher, B Akhil, AA Noffke, P Kumar, Z Khan, SB Joshi","SC Ganguly, BB McCullum, RT Ponting, DJ Hussey, Mohammad Hafeez, LR Shukla, WP Saha, AB Agarkar, AB Dinda, M Kartik, I Sharma",2008,1,League,runs,140.0,223.0,20.0,N,Royal Challengers Bengaluru,Kolkata Knight Riders,0,1,Chasing,0,0
Punjab Kings,Chennai Super Kings,2008-04-19,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, JR Hopes, KC Sangakkara, Yuvraj Singh, SM Katich, IK Pathan, P Dharmani, B Lee, PP Chawla, WA Mota, S Sreesanth","PA Patel, ML Hayden, MEK Hussey, MS Dhoni, SK Raina, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan",2008,2,League,runs,33.0,241.0,20.0,N,Punjab Kings,Chennai Super Kings,0,0,Chasing,0,0
Delhi Capitals,Rajasthan Royals,2008-04-19,Rajasthan Royals,bat,Delhi Capitals,MF Maharoof,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, MK Tiwary, KD Karthik, R Bhatia, M Manhas, DL Vettori, MF Maharoof, B Geeves, GD McGrath","T Kohli, YK Pathan, SR Watson, M Kaif, DS Lehmann, RA Jadeja, M Rawat, D Salunkhe, SK Warne, SK Trivedi, MM Patel",2008,3,League,wickets,9.0,130.0,20.0,N,Delhi Capitals,Rajasthan Royals,1,0,Chasing,0,1
Mumbai Indians,Royal Challengers Bengaluru,2008-04-20,Mumbai Indians,bat,Royal Challengers Bengaluru,MV Boucher,Wankhede Stadium,Mumbai,"L Ronchi, ST Jayasuriya, DJ Thornely, RV Uthappa, PR Shah, AM Nayar, SM Pollock, Harbhajan Singh, MA Khote, A Nehra, DS Kulkarni","S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, B Akhil, P Kumar, Z Khan, SB Joshi, R Vinay Kumar",2008,4,League,wickets,5.0,166.0,20.0,N,Mumbai Indians,Royal Challengers Bengaluru,0,1,Defending,0,0
Kolkata Knight Riders,Deccan Chargers,2008-04-20,Deccan Chargers,bat,Kolkata Knight Riders,DJ Hussey,Eden Gardens,Kolkata,"WP Saha, BB McCullum, RT Ponting, SC Ganguly, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, AB Dinda, M Kartik, I Sharma","AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds, RG Sharma, SB Styris, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha",2008,5,League,wickets,5.0,111.0,20.0,N,Kolkata Knight Riders,Deccan Chargers,1,0,Chasing,0,1
Rajasthan Royals,Punjab Kings,2008-04-21,Punjab Kings,bat,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,Jaipur,"M Kaif, Kamran Akmal, YK Pathan, SR Watson, DS Lehmann, RA Jadeja, Pankaj Singh, D Salunkhe, SK Warne, SK Trivedi, MM Patel","K Goel, JR Hopes, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, IK Pathan, S Sohal, B Lee, PP Chawla, WA Mota, S Sreesanth",2008,6,League,wickets,6.0,167.0,20.0,N,Rajasthan Royals,Punjab Kings,1,0,Chasing,0,1
Deccan Chargers,Delhi Capitals,2008-04-22,Deccan Chargers,bat,Delhi Capitals,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds, RG Sharma, Shahid Afridi, SB Bangar, AS Yadav, WPUJC Vaas, RP Singh, PP Ojha","G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, KD Karthik, MK Tiwary, R Bhatia, MF Maharoof, Mohammad Asif, VY Mahesh, GD McGrath",2008,7,League,wickets,9.0,143.0,20.0,N,Deccan Chargers,Delhi Capitals,0,1,Defending,0,0
Chennai Super Kings,Mumbai Indians,2008-04-23,Mumbai Indians,field,Chennai Super Kings,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","L Ronchi, ST Jayasuriya, RV Uthappa, SM Pollock, DJ Bravo, AM Nayar, MA Khote, Harbhajan Singh, A Nehra, VS Yeligati, DS Kulkarni",2008,8,League,runs,6.0,209.0,20.0,N,Chennai Super Kings,Mumbai Indians,1,0,Defending,0,1
Deccan Chargers,Rajasthan Royals,2008-04-24,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, VVS Laxman, Shahid Afridi, A Symonds, RG Sharma, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha, D Kalyankrishna","Kamran Akmal, GC Smith, YK Pathan, SR Watson, M Kaif, RA Jadeja, SK Warne, D Salunkhe, Pankaj Singh, SK Trivedi, MM Patel",2008,9,League,wickets,3.0,215.0,20.0,N,Deccan Chargers,Rajasthan Royals,0,0,Defending,0,0
Punjab Kings,Mumbai Indians,2008-04-25,Mumbai Indians,field,Punjab Kings,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, RR Sarwan, DPMD Jayawardene, S Sohal, B Lee, PP Chawla, S Sreesanth, VRV Singh","L Ronchi, ST Jayasuriya, RV Uthappa, DJ Bravo, SS Tiwary, SM Pollock, AM Nayar, Harbhajan Singh, MA Khote, DS Kulkarni, A Nehra",2008,10,League,runs,66.0,183.0,20.0,N,Punjab Kings,Mumbai Indians,1,0,Defending,0,0
Chennai Super Kings,Kolkata Knight Riders,2008-04-26,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, ML Hayden, MS Dhoni, MEK Hussey, S Badrinath, SK Raina, JDP Oram, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","SC Ganguly, BB McCullum, RT Ponting, WP Saha, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda",2008,11,League,wickets,7.0,136.0,20.0,N,Chennai Super Kings,Kolkata Knight Riders,1,0,Chasing,0,1
Royal Challengers Bengaluru,Rajasthan Royals,2008-04-26,Rajasthan Royals,field,Rajasthan Royals,SR Watson,M Chinnaswamy Stadium,Bangalore,"S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, P Kumar, SB Joshi, Z Khan, R Vinay Kumar, A Kumble","GC Smith, M Rawat, YK Pathan, SR Watson, M Kaif, RA Jadeja, D Salunkhe, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel",2008,12,League,wickets,9.0,148.0,20.0,N,Royal Challengers Bengaluru,Rajasthan Royals,0,0,Defending,0,0
Mumbai Indians,Deccan Chargers,2008-04-27,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai,"L Ronchi, ST Jayasuriya, AM Rahane, RV Uthappa, SM Pollock, AM Nayar, DJ Bravo, MA Khote, A Nehra, DS Kulkarni, SD Chitnis","AC Gilchrist, VVS Laxman, A Symonds, RG Sharma, Shahid Afridi, SB Bangar, AS Yadav, RP Singh, PP Ojha, D Kalyankrishna, DNT Zoysa",2008,13,League,wickets,10.0,155.0,20.0,N,Mumbai Indians,Deccan Chargers,0,0,Defending,0,0
Punjab Kings,Delhi Capitals,2008-04-27,Delhi Capitals,bat,Punjab Kings,SM Katich,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, SM Katich, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, TM Srivastava, IK Pathan, B Lee, PP Chawla, S Sreesanth, VRV Singh","G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, MK Tiwary, KD Karthik, R Bhatia, MF Maharoof, VY Mahesh, Mohammad Asif, GD McGrath",2008,14,League,wickets,4.0,159.0,20.0,N,Punjab Kings,Delhi Capitals,1,0,Chasing,0,1
Royal Challengers Bengaluru,Chennai Super Kings,2008-04-28,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,Bangalore,"B Chipli, W Jaffer, LRPL Taylor, JH Kallis, MV Boucher, V Kohli, R Dravid, P Kumar, Z Khan, B Akhil, DW Steyn","PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, JA Morkel, Joginder Sharma, P Amarnath, MS Gony",2008,15,League,runs,13.0,179.0,20.0,N,Royal Challengers Bengaluru,Chennai Super Kings,0,0,Chasing,0,0
Kolkata Knight Riders,Mumbai Indians,2008-04-29,Kolkata Knight Riders,bat,Mumbai Indians,ST Jayasuriya,Eden Gardens,Kolkata,"BB McCullum, SC Ganguly, RT Ponting, DB Das, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda","AM Rahane, ST Jayasuriya, MK Pandey, RV Uthappa, DJ Bravo, SM Pollock, AM Nayar, A Nehra, DS Kulkarni, CRD Fernando, PR Shah",2008,16,League,wickets,7.0,138.0,20.0,N,Kolkata Knight Riders,Mumbai Indians,0,1,Defending,0,0
Delhi Capitals,Royal Challengers Bengaluru,2008-04-30,Royal Challengers Bengaluru,field,Delhi Capitals,GD McGrath,Feroz Shah Kotla,Delhi,"G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, KD Karthik, MK Tiwary, R Bhatia, DL Vettori, Mohammad Asif, VY Mahesh, GD McGrath","P Kumar, W Jaffer, LRPL Taylor, JH Kallis, R Dravid, MV Boucher, V Kohli, Z Khan, DW Steyn, R Vinay Kumar, SB Joshi",2008,17,League,runs,10.0,192.0,20.0,N,Delhi Capitals,Royal Challengers Bengaluru,1,0,Defending,0,1
Rajasthan Royals,Kolkata Knight Riders,2008-05-01,Rajasthan Royals,bat,Rajasthan Royals,SA Asnodkar,Sawai Mansingh Stadium,Jaipur,"GC Smith, SA Asnodkar, M Kaif, YK Pathan, SR Watson, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel","Salman Butt, SC Ganguly, AB Agarkar, BJ Hodge, DJ Hussey, LR Shukla, DB Das, WP Saha, Umar Gul, I Sharma, AB Dinda",2008,18,League,wickets,7.0,165.0,20.0,N,Rajasthan Royals,Kolkata Knight Riders,1,1,Defending,1,1
Deccan Chargers,Punjab Kings,2008-05-01,Punjab Kings,field,Punjab Kings,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AC Gilchrist, VVS Laxman, HH Gibbs, RG Sharma, Shahid Afridi, Y Venugopal Rao, SB Bangar, DNT Zoysa, D Kalyankrishna, RP Singh, PP Ojha","SE Marsh, RR Sarwan, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, K Goel, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, Gagandeep Singh",2008,19,League,runs,45.0,197.0,20.0,N,Deccan Chargers,Punjab Kings,0,0,Defending,0,0
Chennai Super Kings,Delhi Capitals,2008-05-02,Chennai Super Kings,bat,Delhi Capitals,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, SP Fleming, S Vidyut, MS Dhoni, JA Morkel, SK Raina, S Badrinath, Joginder Sharma, M Ntini, MS Gony, M Muralitharan","G Gambhir, V Sehwag, AB de Villiers, S Dhawan, Shoaib Malik, KD Karthik, R Bhatia, VY Mahesh, GD McGrath, PJ Sangwan, Mohammad Asif",2008,20,League,wickets,8.0,170.0,20.0,N,Chennai Super Kings,Delhi Capitals,0,1,Defending,0,0
Royal Challengers Bengaluru,Deccan Chargers,2008-05-03,Deccan Chargers,field,Royal Challengers Bengaluru,P Kumar,M Chinnaswamy Stadium,Bangalore,"B Chipli, W Jaffer, V Kohli, JH Kallis, Misbah-ul-Haq, R Dravid, MV Boucher, P Kumar, Z Khan, DW Steyn, A Kumble","AC Gilchrist, VVS Laxman, HH Gibbs, RG Sharma, Shahid Afridi, SB Styris, AS Yadav, SB Bangar, RP Singh, DP Vijaykumar, PP Ojha",2008,21,League,runs,9.0,179.0,20.0,N,Royal Challengers Bengaluru,Deccan Chargers,1,0,Defending,0,1
Punjab Kings,Kolkata Knight Riders,2008-05-03,Punjab Kings,bat,Punjab Kings,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, K Goel, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, Gagandeep Singh","Mohammad Hafeez, SC Ganguly, DB Das, BJ Hodge, DJ Hussey, LR Shukla, WP Saha, AB Agarkar, Umar Gul, I Sharma, AB Dinda",2008,22,League,runs,3.0,157.0,20.0,N,Punjab Kings,Kolkata Knight Riders,1,1,Defending,1,1
Rajasthan Royals,Chennai Super Kings,2008-05-04,Chennai Super Kings,bat,Rajasthan Royals,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur,"GC Smith, SA Asnodkar, YK Pathan, SR Watson, M Rawat, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel","PA Patel, SP Fleming, S Vidyut, SK Raina, S Badrinath, MS Dhoni, JA Morkel, Joginder Sharma, MS Gony, M Muralitharan, M Ntini",2008,23,League,runs,29.0,163.0,20.0,N,Rajasthan Royals,Chennai Super Kings,1,0,Chasing,0,0
Mumbai Indians,Delhi Capitals,2008-05-04,Delhi Capitals,field,Mumbai Indians,SM Pollock,Dr DY Patil Sports Academy,Mumbai,"YV Takawale, ST Jayasuriya, DJ Thornely, RV Uthappa, DJ Bravo, AM Nayar, SM Pollock, SS Tiwary, RR Raje, A Nehra, DS Kulkarni","G Gambhir, V Sehwag, S Dhawan, AB de Villiers, Shoaib Malik, KD Karthik, R Bhatia, PJ Sangwan, VY Mahesh, Mohammad Asif, GD McGrath",2008,24,League,wickets,8.0,110.0,20.0,N,Mumbai Indians,Delhi Capitals,1,0,Defending,0,1
Royal Challengers Bengaluru,Punjab Kings,2008-05-05,Punjab Kings,field,Punjab Kings,S Sreesanth,M Chinnaswamy Stadium,Bangalore,"W Jaffer, V Kohli, CL White, JH Kallis, R Dravid, Misbah-ul-Haq, P Kumar, DT Patil, Z Khan, A Kumble, DW Steyn","SE Marsh, JR Hopes, RR Sarwan, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, U Kaul, Gagandeep Singh, S Sreesanth, VRV Singh",2008,25,League,wickets,6.0,127.0,20.0,N,Royal Challengers Bengaluru,Punjab Kings,0,0,Defending,0,0
